X,HR_TD_Mean,HR_TD_Median,HR_TD_std,HR_TD_Min,HR_TD_Max,HR_TD_AUC,HR_TD_Kurtosis,HR_TD_Skew,HR_TD_Slope_min,HR_TD_Slope_max,HR_TD_Slope_mean,HR_TD_Slope,TEMP_TD_Mean,TEMP_TD_Median,TEMP_TD_std,TEMP_TD_Min,TEMP_TD_Max,TEMP_TD_AUC,TEMP_TD_Kurtosis,TEMP_TD_Skew,TEMP_TD_Slope_min,TEMP_TD_Slope_max,TEMP_TD_Slope_mean,TEMP_TD_Slope,EDA_TD_P_Mean,EDA_TD_P_Median,EDA_TD_P_std,EDA_TD_P_Min,EDA_TD_P_Max,EDA_TD_P_AUC,EDA_TD_P_Kurtosis,EDA_TD_P_Skew,EDA_TD_P_Slope_min,EDA_TD_P_Slope_max,EDA_TD_P_Slope_mean,EDA_TD_P_Slope,EDA_TD_T_Mean,EDA_TD_T_Median,EDA_TD_T_std,EDA_TD_T_Min,EDA_TD_T_Max,EDA_TD_T_AUC,EDA_TD_T_Kurtosis,EDA_TD_T_Skew,EDA_TD_T_Slope_min,EDA_TD_T_Slope_max,EDA_TD_T_Slope_mean,EDA_TD_T_Slope,EDA_TD_P_Peaks,EDA_TD_P_RT,EDA_TD_P_ReT,Frustrated,upset,hostile,alert,ashamed,inspired,nervous,attentive,afraid,active,determined
-155.49913548829701,-0.12328810800684058,-0.07535719081700566,0.09463720747113581,-0.3909811239487578,-0.03428725665007179,-0.05049031272409194,-0.05849493394258689,-0.2272676943153939,-0.0804229561022184,1.047769236382283,1.1654111542844694,1.0949367246137136,-1.2712212994596859,-1.2523398784214241,-0.03807175521739836,-1.3108538805698957,-1.2701035206251838,-0.500418085232276,1.844854343718597,-0.9327229758437945,-2.102429965978242,-0.03897031632971309,-1.8910590463968189,-1.8868254413889465,-0.4342410300532908,-0.38607592401696567,-0.5321840717469888,8.776104886837968e-4,-0.6464892802874924,-0.4393050737976492,0.3927982663037495,0.2924419643931652,0.5686488462644804,-0.6265242114981129,-0.5340502021498761,-0.16399850176826963,-0.6666634433007601,-0.6501613815933588,-0.6033918547034375,-0.6461561010590011,-0.76269825838502,-0.6432119844644396,0.6269967821890797,-1.0358946615231157,0.49205529437083895,-0.404487907374658,0.24856487457212403,0.20722805550915877,-0.46704531637599456,0.7011277292773925,0.6093827967228748,2,1,1,2,1,2,2,3,1,2,2
-154.50027990268555,-0.16136977851261033,0.002349349465105427,-0.5641180556527113,0.12327774409546338,-0.47193411903483873,-0.41534747233471375,-0.17018567928195752,-0.4766766250993511,0.44625686903651735,-0.7190133906758764,-0.2804761599589477,-0.24398739334282518,-1.0850152331881213,-1.0915484014041343,-0.023281213372546402,-1.0615210193171338,-1.0721037658884973,-0.9502183542565777,0.3746235087660787,0.43936873956800454,0.11941354337676303,0.33548698984471864,0.5364269242780534,0.5036715818418652,-0.45366171741730904,-0.35117680419294495,-0.7065671558835357,0.3476505010401683,-0.7171697942155969,-0.46875482294740406,0.5624445353820984,0.5110958596352342,0.612526280747311,-0.6381415896718795,-0.3589386326053062,-0.2895274837832882,-0.7039555850900109,-0.704707832838587,-0.5880574186522783,-0.5261266050635377,-0.7313157275453395,-0.7230205824594819,-0.4341469169227034,0.5166708572493883,0.7689079939239716,-0.7924268694870071,0.048940631299095455,-0.00852858206878745,-0.6482765437582416,0.4349432613907392,0.4050263978625669,3,2,1,3,2,2,2,3,1,3,3
-153.49927602072393,-0.10712656321865595,0.04555319035914491,-0.5545712373177564,0.1516854818296743,-0.4781051962574796,-0.6831051930546248,-0.21954722975433918,-0.37067564148727955,0.38266364961760335,-0.394174756761804,-0.14557886708870876,-0.13623006878102878,-1.413196723459502,-1.4113365273576322,-0.2662139186330601,-1.3628611040290077,-1.439130764493925,-1.5619101342936983,-0.3472160983481867,0.31857578849981094,-0.19601385436350835,-0.36918100169336,-0.44173428350647487,-0.45397366285387514,-0.38890430978527757,-0.3023778568518684,-0.5850727013608386,0.8629297302107216,-0.5497615820107666,-0.4079159964308349,1.77761991660844,1.5968593961985709,0.48132752601138906,-0.4695520012850859,-0.2495837282472545,-0.39754222135670775,-0.7499175411388508,-0.7497894518361293,-0.5798450631278151,-0.6111350843331379,-0.7770777403213733,-0.7801478093725249,-0.1594341451273761,0.4232951163518682,0.6956588102867579,-0.7147860463652738,0.1960283736943442,0.1458421413202803,-1.305333162370898,0.21043271846086808,0.4311950218765924,2,1,1,2,1,3,2,3,2,3,3
-152.4975717457357,0.3297704506549582,0.4506208359317272,-0.020423207861435748,0.11523197911090716,0.12891949344546969,0.21311565728639364,-0.32608956502425873,-0.5685457187967745,-0.13586695271530283,0.13847274458940173,0.7552552173983272,0.7902787463153553,-1.4816081768692426,-1.5079972710832767,2.2621984071634844,-1.6182194672715629,-1.2337240379557952,-0.7795691337422431,-1.2076105043909784,1.1347774139148754,-0.2552435898568088,2.2310934032936505,2.3237991040944754,2.326000559896728,-0.3700984067221914,-0.24552510942598074,-0.737461325990403,0.6387344789261492,-0.739427777979081,-0.37835856905869225,0.8364108558372839,0.7672894781784313,0.6413179796818593,-0.6162624034401345,-0.1467041612889462,-0.2547729642702386,-0.7044158422492813,-0.696207851247539,-0.6436932624572513,-0.500685026259098,-0.739005201227181,-0.7149348568761568,-0.045263167493931444,0.5660089583382866,0.8331231489967549,-0.9921334611044915,0.12241068482196074,0.04112857709059789,-0.4258416976682037,0.06495776773499097,-0.09807550900534127,2,1,1,2,1,3,2,3,2,3,3
-151.49917775732877,-0.5184707116529946,-0.43808997058805327,-0.5906006733455336,-0.20990971988134377,-0.755354564871381,-0.36251658382421914,-0.4880109528650763,-0.3003770657326595,0.783279551535738,-0.31638351443824686,0.10336539935120602,0.08792157278684762,-1.5119211616044597,-1.501300852905056,-0.17838895386357514,-1.4779715074846589,-1.5469091658722236,-0.5860755565167681,-0.9412433285315337,-0.07303311840163197,-0.16235982421159426,-0.6440034372208973,-0.98386449573853,-0.9816185250472382,-0.41617465386889235,-0.33152333356914865,-0.6633114397848762,0.5301991422034682,-0.6761322262232262,-0.41391703643913313,0.9140975920028462,0.7594466668092906,0.6370570774791734,-0.6426036699679964,-0.1720946463410451,-0.11313173426934568,-0.7725617586554505,-0.7698647842220362,-0.665151819899857,-0.5838487654397881,-0.8080011227657359,-0.7592449608325806,-0.5491543634236423,0.5653989072534642,0.7900375654484664,-0.8491116684368225,0.18847652872741,0.12874745862109807,-0.1988854181015764,-0.3072092818132285,-0.10767920156568903,2,3,1,3,2,3,3,4,2,4,4
-150.50171361001154,0.8877908292741493,0.7230689664062935,1.5178604976823535,0.4745513249348269,2.114908492338375,0.007005580390815959,2.107807911878947,1.8806658015739222,-2.4021293219676108,-0.31368671251296504,-3.0701984932230904,-3.029378144808911,-1.6447118961831853,-1.6890460346594103,2.4576477722558163,-1.8295818915734576,-1.3144923023808068,-1.8999540834413804,2.4441495763253935,1.1772368762614664,-1.6531468938352052,4.222394498000116,3.2549080091097453,3.2364435814581176,-0.30171698647212997,-0.1664130677606385,-0.7050428232733165,0.30992847708791244,-0.8158099679538169,-0.34578257431673104,-0.3510584382736271,-0.23558840921709212,0.6991935716591741,-0.7098741889210756,-0.35217927326931237,-0.5325381233548069,-0.7258464775052682,-0.7134975616294622,-0.4767324504962467,-0.6051408146167678,-0.7431851436213801,-0.7919037729100065,-0.5375894390134397,0.46335371618380267,0.7657533446609738,-0.8600934125645902,0.0074200420440213855,-0.05297738551504418,-0.999199266123429,1.219933449249274,1.0260054570785935,2,1,1,3,2,3,2,3,2,3,4
-149.50076920998865,-1.0903574391036994,-0.9297454340541682,-0.4732336149870949,-0.9935795218762121,-0.9989683388667615,-1.277615497242176,-0.4532401255020625,-0.6592945734983309,0.37372397274969854,-0.5130435512558987,-0.22493679996058044,-0.21664946435327978,-0.8040945527378401,-0.8156657376089487,-0.05026236071248772,-0.7730340717715114,-0.7822561280803608,-0.9433262881789682,0.5973710689109695,0.7777224985386795,0.3503135422939323,0.25605958702285225,0.7618341293172843,0.6934457942441529,-0.38128350102518305,-0.3032554932128579,-0.5963502612803189,0.22455762817936822,-0.6575854924188032,-0.399082557902584,-0.4894259143465373,-0.44792097135297054,0.554400674731121,-0.6062445512562001,-0.42097077120996185,-0.2952459325680587,-0.5849705053292399,-0.5900659013872441,-0.43502847345260737,-0.4579921788590343,-0.5895941247745192,-0.6140701548266433,-0.3901903898036829,0.3882403726057753,0.6100947186994351,-0.5923704269549585,0.27625031414823387,0.23709201359906934,-0.04699607179871164,0.4572556651242594,0.15157615593826812,0,1,1,1,1,1,1,1,1,1,1
-148.50088519466945,-0.14289558751101974,0.009369878854421159,-0.07124379231137383,-0.40918870560804316,-0.3675762058597976,-0.06454337308788462,-0.6415612802105458,-0.7676605482159162,-0.21271786016878952,0.18753728195314925,1.1350150542614565,1.1974058108478147,-1.110123849752883,-1.104100253603518,-0.14923868139015312,-1.0935811940306315,-1.1333843479635364,-0.4396069995094944,0.013837841274648646,-0.29760984682471414,0.34313056285230625,-0.16859511392213924,0.3767555175725657,0.3426859423109866,-0.37448940197662156,-0.23534142044008044,-0.6604234563000824,0.8424640062117442,-0.5339899609960572,-0.37870942445048233,2.5991174818998126,2.313600960582029,0.4314990224291619,-0.41975212494600067,-0.4295417493918509,-0.5370091196847909,-0.7395692599653289,-0.7392267303629866,-0.7058594357581967,-0.6211985074101628,-0.8020165597871066,-0.7286792301900894,0.8352333119327402,-0.3179820296644572,0.6628089593277561,-0.6524795329635722,0.06292345676069626,0.011246908535228469,-1.3486681829397342,-0.15890456036845457,0.35594653275817706,0,1,1,2,1,3,2,4,1,3,3
-147.49918404441647,-0.6801823455436559,-0.5307873521589259,-0.7893833396037194,-0.3304483262262344,-0.9577719978908024,-0.63836757707985,-0.5025634028801358,-0.4065547366582793,0.814364643180862,-0.4685181966550367,0.029773079553647067,0.025634995006518918,-1.1808472280297753,-1.1798066968165235,0.682854089827089,-1.2185878557521728,-1.113507725019817,-0.6408114518429257,-0.6108942655444175,0.23621698180216075,-0.7555693955228753,0.29287892815395233,-0.30109782294430193,-0.28236366782634237,-0.4445723561663222,-0.36751591565429403,-0.6481606163494716,0.15094976216250472,-0.6793392410090383,-0.45007281938240146,0.7794884800588551,0.6843698615992101,0.5987197094739426,-0.6277833957213655,-0.2787717445384507,-0.10434940201824121,-0.6962980489246543,-0.691529593945862,-0.5733747431866659,-0.5471192715718174,-0.7308340903013596,-0.6943456286301826,-0.347869120222279,0.38777340762510604,0.6892107197157019,-0.7527506066956854,0.1566842162616622,0.10257214595882562,-0.6052472111139914,0.5156749216189868,0.43997188882743243,1,1,1,1,1,2,1,2,1,2,2
-146.4989481627498,-0.16121048582229086,-0.08215431353338616,-0.42744581563475686,0.01740710306685477,-0.4122759176786239,-0.08861197850580005,-0.8198998215149516,-0.338649769367832,0.7962734885635141,0.014041946203767627,-0.1572922855598465,-0.21226731374197522,-1.8771639118629457,-1.8687914871026592,1.6565452603788526,-2.017980961095286,-1.7061234944133608,-0.756936394393199,-0.17881533023858162,-0.0901025729535687,-3.239814759630706,0.9819978529054394,-1.863131211663364,-1.767981004922319,-0.4861514073649496,-0.4565513588227624,-0.6053027305669603,-0.15788189598711627,-0.7819432777377872,-0.487321911424549,0.26026644922386893,0.2007814609713319,0.731541883601874,-0.7683416824784262,-0.2337302390150482,0.16555609003760663,-0.7301293284471271,-0.7078087240227804,-0.606928006131327,-0.6229948008234397,-0.8109476661060497,-0.7070436822367426,-0.2635141951437407,-0.13234225614818315,0.6549687662130624,-0.7301814829831942,0.2904105784773541,0.22974691905770564,-0.5529954405131545,1.1210350521391725,0.7793982278097759,2,1,1,3,1,3,3,3,2,4,4
