PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,Frustrated,upset,hostile,alert,ashamed,inspired,nervous,attentive,afraid,active,determined
-3.1535857523050406,-1.108992211852897,-2.0362232212456357,-1.2076879986618383,0.011653611136253123,-2.0810739556113744,1.7551685364313083,1.7726111406833305,2.295674229142422,-0.16703746821029195,-0.5861752364858295,0.5872301526738593,-0.6753578046982897,0.7919760003673958,0.3081508704507276,1.3148317039569506,2,1,1,2,1,2,2,3,1,2,2
-3.2987404875393733,0.21319066035443207,-0.89743480976015,0.23265859464447178,0.1020852974960385,1.1005652353186361,0.9438722904613719,-1.2288109369891778,-0.32512907909846367,-0.27091916878100836,-0.21134619463391863,0.7024689657313309,0.29022341198338325,-0.007949109005244042,0.8570038127295732,-1.1363436798884472,3,2,1,3,2,2,2,3,1,3,3
-3.8799275038496845,0.14100374050453957,-1.572203653860678,-0.19209295189967465,-0.28204252228598425,-0.6743102434912753,1.8320528747533087,-1.310364769360631,-0.5796493698758532,0.18705799052286806,-0.42562082429892695,0.43044639693775016,1.620813389642595,-0.7197480002885075,0.30060275373269946,0.9728862881620758,2,1,1,2,1,3,2,3,2,3,3
-3.554013081124308,-0.9906602245140532,0.7152486121952295,1.385245753530562,1.1760452804457007,3.5951224317012875,3.1605348595106983,0.13306894621523782,-0.9457794262215155,1.025029190081468,0.032998506653262656,-0.6747080451544146,0.17872981616957334,-1.0963357578651345,0.06867021612600187,0.29013954003313636,2,1,1,2,1,3,2,3,2,3,3
-3.6099051672009117,0.04640001722557186,-2.3117988705905144,-1.346391163514151,0.6118122253339175,-0.1444142027931927,0.6690107979558607,-1.0057928111252246,-0.2081951968474894,0.018004100858358657,-0.7296092052538151,-0.42837879569199416,1.1167043141080488,-0.34046119588984725,-0.682416995635438,0.08091592838155,2,3,1,3,2,3,3,4,2,4,4
-4.02514269948784,-2.8347492370967804,2.900541263665244,7.1839106979714185,3.316557709592113,2.019323060768713,1.70277510602673,-1.9933474634032766,1.6400310541832548,-1.0995313765103523,1.005995063718375,2.306090134367589,-0.9808408679731888,-0.3372001692700669,2.209714609287817,-1.8180318700817655,2,1,1,3,2,3,2,3,2,3,4
-2.397637802197475,1.3049249384096475,-1.7269451889275664,0.2168487985062904,1.3868130805398033,1.562832579386438,-0.08861626003859827,-0.3702039397463416,-0.6057974033958328,0.16455032965917926,-0.22852934978443865,1.1384129506569378,-0.4596918502070707,0.12671107516465918,1.3141144475650364,-0.8971047010282365,0,1,1,1,1,1,1,1,1,1,1
-3.6807120417496804,0.23129045157104622,-0.8949003643567464,-0.2871846284338673,-1.071586519674546,-0.273939461512348,2.660909865292772,0.8610359767331079,-1.2139580309702587,0.2823281951278671,0.25017191811216666,-1.3011154986995965,1.7423867648353804,0.3297693074464871,1.2206054787713527,-0.7275359018112354,0,1,1,2,1,3,2,4,1,3,3
-3.2877694329235867,0.6579059229908748,-1.8784475841747077,-0.06319288826366755,0.34050335395579645,0.8646955246431934,1.1590947295258025,-0.5147472943130053,0.40342900554242606,0.3643411367020095,-1.1669537123429554,0.2909117791028446,0.8113005083105638,-0.2414193133049661,-0.3709652258204455,0.3849451764514768,1,1,1,1,1,2,1,2,1,2,2
-3.8940542530168867,-1.1718672443752325,-2.17435080222084,-0.15568104262070126,1.0177453582823028,-0.31147837688006436,2.034016375126973,-0.12820305244271654,2.901628795462483,0.21701609255987012,-3.080439408140108,0.8664084822327661,0.12038585033955704,-0.33122650450953633,-1.1231615812249316,0.9080304205413469,2,1,1,3,1,3,3,3,2,4,4
