"X","HR_TD_Mean","HR_TD_Median","HR_TD_std","HR_TD_Min","HR_TD_Max","HR_TD_AUC","HR_TD_Kurtosis","HR_TD_Skew","HR_TD_Slope_min","HR_TD_Slope_max","HR_TD_Slope_mean","HR_TD_Slope","TEMP_TD_Mean","TEMP_TD_Median","TEMP_TD_std","TEMP_TD_Min","TEMP_TD_Max","TEMP_TD_AUC","TEMP_TD_Kurtosis","TEMP_TD_Skew","TEMP_TD_Slope_min","TEMP_TD_Slope_max","TEMP_TD_Slope_mean","TEMP_TD_Slope","EDA_TD_P_Mean","EDA_TD_P_Median","EDA_TD_P_std","EDA_TD_P_Min","EDA_TD_P_Max","EDA_TD_P_AUC","EDA_TD_P_Kurtosis","EDA_TD_P_Skew","EDA_TD_P_Slope_min","EDA_TD_P_Slope_max","EDA_TD_P_Slope_mean","EDA_TD_P_Slope","EDA_TD_T_Mean","EDA_TD_T_Median","EDA_TD_T_std","EDA_TD_T_Min","EDA_TD_T_Max","EDA_TD_T_AUC","EDA_TD_T_Kurtosis","EDA_TD_T_Skew","EDA_TD_T_Slope_min","EDA_TD_T_Slope_max","EDA_TD_T_Slope_mean","EDA_TD_T_Slope","EDA_TD_P_Peaks","EDA_TD_P_RT","EDA_TD_P_ReT","Round","Phase","Individual","Puzzler","Frustrated","Cohort","upset","hostile","alert","ashamed","inspired","nervous","attentive","afraid","active","determined"
5,2.43976856940889,2.37229037848053,2.23978472072187,2.64957894821109,3.68418732684328,2.70369964068549,3.37911565560512,5.2197643350539,4.6480495486637,0.492862398643388,1.28140233190855,1.0828137933939,0.34761652968767,0.316031496837476,2.94507289229322,0.242114339704555,0.804968911816527,1.83817909008995,4.01695821537365,6.91722693168359,3.27550371255938,6.25133424284825,6.00668136643502,5.95356673817469,1.66050393907158e-05,1.1078241122231e-06,0,13.4946510202317,0,1.54705145948286e-05,1.17788781365883,2.42066869219295,5.83848421374819,0.000506292840629197,0.89822169468357,1.88170363120883,0.195098179562493,0.184046218408781,0.000277110834626337,1.38328285842656,0.00202827125994232,0.19555953106183,1.01022668191836,6.77346437144811,5.1692042673169,0.00452968869477599,6.09452097739084,5.73655876166485,0.969420693617324,3.37292758379742,2.13865827739122,"round_2","phase1","1","1",2,"D1_4",1,1,3,2,3,2,3,2,3,4
6,0.68187223592917,0.923613925675411,0.334018789138227,1.25573984090974,0.281536552563296,1.29137195665845,0.449931034377611,2.81240316366667,7.16568980460747,0.404218082340621,4.08315696787026,4.03072968122885,1.28352359636703,1.28843610249125,0.857837780304887,1.27110028344892,1.34161485302755,2.43277172229181,1.89477823653068,5.71545530291362,4.93027117254074,1.26841434293399,3.89748641323318,3.9000818768711,0.0237858808023104,0.00438087432344864,0.0736583596929533,13.4749663720607,0.0960956313674974,0.0238872669983819,0.5967942300177,2.03731698235788,5.76110895674976,0.0882850864877867,0.849719157813742,1.8794105899179,0.268437310186711,0.262625763431375,0.364372464347147,1.39571641141734,0.141766030825187,0.269037793396927,0.0368550082763216,5.75486693393674,5.07336031872634,0.196573352367874,6.28256638177981,5.94182916248216,1.53491609822743,2.02375655027845,2.03833402461709,"round_4","phase3","1","1",0,"D1_4",1,1,1,1,1,1,1,1,1,1
7,1.66363439696552,1.77363641054052,0.937213154498609,1.91412006440462,1.04168524448419,2.27521740251627,0.288087178235446,2.76054920911118,6.87175210975108,0.829710800593902,5.44296734421761,5.36930563828902,1.06194122403755,1.06964506621915,0.483971388271066,1.06530309470004,1.06109538375815,2.52266507147111,1.46752717207701,4.85779444234948,4.95466522386513,1.45230669849475,3.36987245169612,3.32474997207492,0.00108643823248272,0.000131809293517637,0.00512559522289824,13.501140526417,0.0117590803633901,0.00111657695200312,4.38891828916872,4.86036395498426,5.83166249875528,0.00340931928347654,0.898414362070505,1.87953910352822,0.204499606071055,0.193405726825354,0.00184737972996307,1.39284701933832,0.0109402996293284,0.206166650942171,2.27298378366693,5.54728582779198,5.16231662103209,0.017508384002957,6.08971934401466,5.73180482825076,1.13099080922021,1.46481426496345,1.74998710763024,"round_4","phase2","1","1",0,"D1_4",1,1,2,1,3,2,4,1,3,3
8,1.14996189491399,1.42593752446486,0.548048382900235,1.64648582721158,0.599672856959819,1.66174171953022,0.471020048579985,2.63739585063097,7.85580439253114,0.329756856646296,4.38609063631306,4.20063013799709,1.05709736975529,1.0939551813605,1.09453998442541,1.00477450977391,1.04889888509426,2.24147287195301,0.107843113247593,3.78588085626527,3.5309329011535,1.7041645118119,3.0305023241034,2.98330323484098,9.22153639069667e-05,1.11164145416565e-06,0.000236679602144241,13.5007583160465,0.000567368188443051,9.13866909082461e-05,1.74333371454429,3.08980751565346,5.83850740148466,0.000228181070678568,0.898398870982288,1.87937456267067,0.204939342151591,0.19354223961415,0.0020568395522319,1.39517344460434,0.0106164664191732,0.205487407627266,0.239595000372263,6.28344439667188,5.1682086627512,0.00499349151434303,6.08872774736312,5.73090477010998,0.969420693617324,2.61531615728293,1.92885319321676,"round_4","phase1","1","1",1,"D1_4",1,1,1,1,2,1,2,1,2,2
9,1.7810771118528,2.03575423904464,0.976053255801801,1.79100831529582,1.05745129142774,2.22582179851344,0.640406304799715,1.95618002224156,7.5107470985693,0.558459192707439,4.0817209291,4.0129357836363,0.352768911008558,0.49835736039756,3.61302179691804,0,0.463466949227698,1.95770143454377,0.757966679140603,2.9489239263688,2.14002437838907,2.13213342767414,1.20190448300769,0.868215147619941,0,7.4870721011866e-08,0.000187497795376634,13.4831034846877,0.000388073242735487,0,1.99935164340524,1.10231695245327,5.83769787539987,0.00104658511228639,0.897577982814106,1.88257692332157,0.19343374906364,0.182408411769898,0,1.38111794465171,0.000312400098966825,0.194267485085691,0.52715604794555,6.16051398709039,5.16743919821703,0.00575540402887476,6.09145497681253,5.73444226236623,0.727065520212993,2.8782315381738,3.11323673291126,"round_1","phase3","1","1",2,"D1_4",1,1,3,1,3,3,3,2,4,4
10,1.43684517689077,1.43875401134755,0.933344326826311,1.96657637489446,1.16161981587616,2.13011340156406,1.19961833782992,4.23098502464285,7.59381644711567,0.755249574899578,4.34835347758764,4.32736424473597,0.536058807606192,0.571287705821593,0.788021234779017,0.447911528453427,0.524449442547133,2.34873923064195,2.16605135186042,2.56511429256448,4.13185939885272,1.54161862549884,3.64323623437869,3.5567801473714,0.00140245416518731,6.00462407125968e-05,0.00658852786407094,13.4899838564119,0.00857247637860314,0.00145378884604874,1.2554339398789,2.97393102940575,5.82952892285137,0.010883916771676,0.904359221911015,1.88320077164336,0.193193226109953,0.181721246117853,0.00500117859776006,1.37972581585694,0.00138591008006572,0.194882125819628,0.203194280509272,6.29265236661665,5.16718198975298,0.00999977460507007,6.0952455901609,5.73755905693028,1.2925609248231,1.17457242918122,2.18506677527312,"round_1","phase2","1","1",3,"D1_4",2,1,1,2,2,2,2,2,3,3
11,2.12573447191842,1.91999242203966,2.05590710794847,2.21279987311205,2.31704582759592,2.44192834044582,0.896040412098962,4.00751325892485,5.96437922562923,1.60623501140615,5.11707908535813,4.94802278369235,0.202597409589804,0.206635978701427,0.710103259604177,0.181585754778415,0.195143978622189,1.80608369858203,0.524591464504231,4.38634134323222,5.15365951104528,1.06815515073882,3.03317480779741,2.65497281215667,0.000226066895572585,6.42185277982543e-06,0.00118108140163165,13.4922870643851,0.00265687643728663,0.000223082984946443,3.23421803640078,4.20866569628437,5.8332622602035,0.00353135102000846,0.896899335823793,1.88152400069852,0.19171623623191,0.18092488343239,0.00562656958911556,1.37574368544918,0,0.192347778200951,0.797788537240231,4.67364265514514,5.16619459661601,0.0123436278014414,6.08612937168473,5.72850381104011,0.646280462411549,1.25922629795104,5.68504099053361,"round_1","phase1","1","1",2,"D1_4",1,1,2,1,2,2,3,2,2,2
12,1.33083384315691,1.50242301070029,0.186162536018028,2.22350524259977,0.572645347913743,1.63727376537886,1.24179868772122,3.85730812495184,7.83663454286659,0.648876395336255,4.62148194901935,4.58397672429157,2.00063610973547,2.02989461430226,0.498098683017963,1.9611261516069,1.96363628488577,2.4065924576967,2.03603567653332,2.56795458659034,4.89559786688463,0.640298386060023,2.49364983653747,2.19862753049487,0.111266887186134,0.0600900434780304,0.259096033801591,13.4034778375398,0.309430978236229,0.10709295953865,0.700681276357094,2.11197022287827,5.53981660542584,0.246837800682439,1.28579380506486,2.48742971386299,0.491489205651273,0.482467370101541,0.177938804328657,1.6682439080389,0.304015005450189,0.478454979562984,0.467447801201256,5.00500890097038,4.9730497586145,0.221628144470024,6.12606892698228,5.77199781700923,2.42355173404331,1.18378877779729,1.32281797939905,"round_3","phase3","2","0",0,"D1_4",1,1,1,1,4,1,4,1,3,4
13,1.75529742142087,1.86376525378011,1.08991426564289,1.83597086714425,1.24833307406565,2.31790095366865,0.377910966203909,2.74553017804618,6.01549882473468,0.755249574899578,3.97743279349567,3.88901624477229,2.06035271293157,2.06028225822893,0.717544322419143,2.05797188748872,2.06120827419686,2.93041494736932,0.343663910676244,4.7099268204168,5.0594834131498,0.628510495604583,2.52090256410357,2.4502263122612,0.130391469010741,0.0342701909585086,0.333295190051826,13.501140526417,0.296042074526602,0.132550747652168,0.257218005014725,1.58152402130564,5.59007899035122,0.249448551143696,1.24151410486997,2.36680686827751,0.413100299699881,0.408089859410763,0.202089480129691,1.4971852399687,0.222139397655586,0.416567197073266,1.41398631003582,4.22424414880054,4.83684114976009,0.281317496926015,5.80602525213984,5.45745792902649,1.77727127163176,1.47182294565706,1.98202959703978,"round_3","phase2","2","0",0,"D1_4",1,1,1,1,3,1,4,1,3,5
14,0.389352561046922,0.549455195712901,0.765915230454029,0.851076874273866,0.62106963495463,0.29921481603954,1.84689922238649,4.47477152558606,6.85897220997472,0.292526243799134,3.13475638315816,3.12249001408928,2.19951571030582,2.22437553543301,0.227724902632438,2.20929334980407,2.13438726618019,1.40351187303939,1.03212841515032,3.23538015774092,5.60379171905964,0.420257764225154,2.82688029192519,2.60866832059999,0.0124947560013978,0.00271582624160688,0.0503631525798913,13.501140526417,0.0864141338735931,0.0105661164824454,1.91889384129235,3.3609954994156,5.73198476557121,0.110853010185885,1.00228446001879,1.89729551791747,0.464412960990719,0.443235360357525,0.357942717754761,1.61705718878857,0.317701637723921,0.41823436613965,0.125010604806094,5.88362071377305,5.11145740950005,0.0438239573997556,5.5211175615312,5.15855382774781,1.13099080922021,1.33118208640538,3.75135357878749,"round_3","phase1","2","0",0,"D1_4",1,1,1,1,1,1,3,1,1,3
